區域,行政區,7-11,Family,Hi-Life,OK
北,基隆市,121.0,95.0,23.0,132.0
北,宜蘭縣,144.0,77.0,18.0,22.0
北,新北市,1405.0,1154.0,576.0,308.0
北,新竹市,191.0,124.0,110.0,43.0
北,新竹縣,218.0,94.0,104.0,74.0
北,桃園市,893.0,423.0,383.0,261.0
北,臺北市,1236.0,776.0,392.0,230.0
中,南投縣,142.0,80.0,19.0,25.0
中,彰化縣,296.0,103.0,66.0,81.0
中,臺中市,941.0,589.0,199.0,190.0
中,苗栗縣,171.0,95.0,58.0,42.0
中,雲林縣,154.0,87.0,40.0,14.0
南,嘉義市,104.0,47.0,25.0,6.0
南,嘉義縣,118.0,51.0,31.0,5.0
南,屏東縣,218.0,89.0,38.0,19.0
南,臺南市,672.0,277.0,81.0,8.0
南,高雄市,865.0,423.0,208.0,122.0
東,臺東縣,82.0,32.0,,1.0
東,花蓮縣,123.0,55.0,,
外,澎湖縣,40.0,9.0,,
外,連江縣,8.0,,,
外,金門縣,28.0,4.0,3.0,
